player,position,team,age,club,birth_year,description,image
Youssef En-Nesyri,FW,Morocco,25,Sevilla,1997,"Youssef En-Nesyri is a forward known for his pace, movement, and goal-scoring prowess. He contributes to offensive movements with his positioning and finishing.","https://digitalhub.fifa.com/transform/2cbd2bc3-0cd6-442e-9877-3cd951e63234/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Nuno Mendes,DF,Portugal,20,Paris S-G,2002,"Nuno Mendes is a left-back known for his defensive attributes, pace, and ability to join the attack. He contributes to both defense and attack on the flanks.","https://digitalhub.fifa.com/transform/481d8bde-2a68-4eff-89f5-7891c1863947/1442847954?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Néstor Araujo,DF,Mexico,31,América,1991,"Néstor Araujo is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.",
Olivier Giroud,FW,France,36,Milan,1986,"Olivier Giroud is a forward known for his physical presence, aerial ability, and goal-scoring prowess. He offers a target in the box and contributes to his team's offensive movements.","https://digitalhub.fifa.com/transform/cefd4ce2-d728-4fdb-b03c-bcfda94cb67a/1442234094?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Olivier Ntcham,MF,Cameroon,26,Swansea City,1996,"Olivier Ntcham is a midfielder known for his passing accuracy, ball retention skills, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/b1676b30-b301-4863-8ab5-d488ef27dabc/1443092016?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Orbelín Pineda,MF,Mexico,26,AEK Athens,1996,"Orbelín Pineda is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Osman Bukari,MF,Ghana,24,Red Star,1998,"Osman Bukari is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Otávio,MF,Portugal,27,Porto,1995,"Otávio is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.","https://digitalhub.fifa.com/transform/61199054-6cb0-4e99-b8e6-f179ba40582b/1442848641?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ousmane Dembélé,FW,France,25,Barcelona,1997,"Ousmane Dembélé is a forward known for his exceptional dribbling ability, pace, and flair. He contributes to his team's offensive movements with creativity and agility.","https://digitalhub.fifa.com/transform/79f04110-e6f0-46b8-932c-5b2c18ebbb86/1442233954?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Pablo Sarabia,FW,Spain,30,Paris S-G,1992,"Pablo Sarabia is a versatile forward known for his goal-scoring abilities, creativity, and playmaking skills. He contributes to his team's offensive movements with flair and vision.","https://digitalhub.fifa.com/transform/e93bb879-a521-4d0e-9201-1260c25895f0/1442551078?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Paik Seung-ho,MF,Korea Republic,25,Jeonbuk,1997,"Paik Seung-ho is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Pape Abou Cissé,DF,Senegal,27,Olympiacos,1995,"Pape Abou Cissé is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.",
Pape Gueye,MF,Senegal,23,Marseille,1999,"Pape Gueye is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Pape Matar Sarr,MF,Senegal,20,Tottenham,2002,"Pape Matar Sarr is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides stability and energy to the midfield.",
Nicolás Otamendi,DF,Argentina,34,Benfica,1988,Nicolás Otamendi is a central defender known for his defensive attributes and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/592d999d-3ded-4a1c-8df1-0ddcad20c18b/1442741360?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Pathé Ciss,MF,Senegal,28,Rayo Vallecano,1994,"Pathé Ciss is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Pau Torres,DF,Spain,25,Villarreal,1997,"Pau Torres is a central defender known for his defensive attributes, composure on the ball, and leadership qualities. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/8f710499-fba6-4d2e-b512-e0c1c242379e/1442551864?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Nicolás Tagliafico,DF,Argentina,30,Lyon,1992,"Nicolás Tagliafico is a left-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/9c5788af-5f9c-4d80-ba26-296edd06e352/1442740186?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Pedri,MF,Spain,20,Barcelona,2002,"Pedri is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/103c93e3-a3d4-4022-9bde-1285f4677ba8/1442551614?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Neymar,FW,Brazil,30,Paris S-G,1992,"Neymar is a forward known for his exceptional dribbling ability, playmaking skills, and goal-scoring prowess. He contributes to his team's offensive movements with creativity and flair.","https://digitalhub.fifa.com/transform/c4e4c789-9423-47cd-8e4e-21a416f2cb06/1443025860?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Pepe,DF,Portugal,39,Porto,1983,"Pepe is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.","https://digitalhub.fifa.com/transform/930157af-3408-4d6e-aa2d-33d2fa062d3c/1442847606?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Pervis Estupiñán,DF,Ecuador,24,Brighton,1998,"Pervis Estupiñán is a left-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Phil Foden,FW,England,22,Manchester City,2000,"Phil Foden is a midfielder known for his passing accuracy, dribbling ability, and creativity. He contributes to his team's offensive movements with flair and vision.","https://digitalhub.fifa.com/transform/6d4611d7-028f-44ae-b5ed-fbcf05b5186c/1441945638?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Piero Hincapié,DF,Ecuador,20,Leverkusen,2002,"Piero Hincapié is a central defender known for his defensive attributes, composure on the ball, and aerial dominance. He provides solidity and organization to the backline.",
Pierre Højbjerg,MF,Denmark,27,Tottenham,1995,"Pierre Højbjerg is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.","https://digitalhub.fifa.com/transform/6eed8203-b998-4030-97ee-54e3c6210d9e/1442266655?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Pierre Kunde,MF,Cameroon,27,Olympiacos,1995,"Pierre Kunde is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.","https://digitalhub.fifa.com/transform/708caa85-0502-46c5-95f5-72f160db67ac/1443092769?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Piotr Zieliński,MF,Poland,28,Napoli,1994,"Piotr Zieliński is a midfielder known for his passing accuracy, box-to-box capabilities, and goal-scoring prowess. He contributes to both defense and attack.","https://digitalhub.fifa.com/transform/83f9cc79-d1f2-4930-8eea-48f806f0ed3f/1442525266?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Przemysław Frankowski,MF,Poland,27,Lens,1995,"Przemysław Frankowski is a forward known for his pace, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Rafael Leão,FW,Portugal,23,Milan,1999,"Rafael Leão is a forward known for his pace, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/1fc6f198-1763-4973-860b-fd8e35daee97/1442848571?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Raheem Sterling,FW,England,28,Chelsea,1994,"Raheem Sterling is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with creativity and agility.","https://digitalhub.fifa.com/transform/e593063f-bff2-49b8-abcb-874e76ecc903/1441945548?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ramin Rezaeian,DF,IR Iran,32,Sepahan,1990,"Ramin Rezaeian is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Randal Kolo Muani,FW,France,24,Eint Frankfurt,1998,"Randal Kolo Muani is a forward known for his pace, movement in the box, and goal-scoring prowess. He contributes to his team's offensive movements and scoring opportunities.","https://digitalhub.fifa.com/transform/fbf401d9-a1c6-4d50-a538-e6af7bf26469/1442233129?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Raphaël Guerreiro,DF,Portugal,28,Dortmund,1993,"Raphaël Guerreiro is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.","https://digitalhub.fifa.com/transform/119d9c43-4c34-4902-871b-455c7f17fe21/1442847796?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Raphaël Varane,DF,France,29,Manchester Utd,1993,"Raphaël Varane is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.","https://digitalhub.fifa.com/transform/04752da5-c26f-40e0-b5fc-ba6af9adca95/1442234000?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Pedro,FW,Brazil,25,Flamengo,1997,"Pedro is a forward known for his goal-scoring abilities, movement in the box, and technical skills. He contributes to his team's offensive movements and scoring opportunities.","https://digitalhub.fifa.com/transform/b8477576-af53-4b1a-92dd-f7a6688c6266/1443021995?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Rasmus Nissen,DF,Denmark,25,Leeds United,1997,"Rasmus Nissen is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Raúl Jiménez,FW,Mexico,31,Wolves,1991,"Raúl Jiménez is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He offers a target in the box and contributes to offensive movements.",
Remo Freuler,MF,Switzerland,30,Nott'ham Forest,1992,"Remo Freuler is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides stability and energy to the midfield.",
Renato Steffen,FW,Switzerland,31,Lugano,1991,"Renato Steffen is a forward known for his pace, movement off the ball, and goal-scoring prowess. He contributes to his team's offensive movements and scoring opportunities.",
Ricardo Horta,FW,Portugal,28,Braga,1994,"Ricardo Horta is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/02bfdfd2-b316-46a9-ac97-96fa30c173f0/1442848733?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ricardo Rodríguez,DF,Switzerland,30,Torino,1992,"Ricardo Rodríguez is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Raphinha,FW,Brazil,26,Barcelona,1996,"Raphinha is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with creativity and flair.","https://digitalhub.fifa.com/transform/896f5ae1-98f6-47df-a717-85320040f605/1443022143?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Richie Laryea,DF,Canada,27,Toronto FC,1995,"Richie Laryea is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Riley McGree,FW,Australia,24,Middlesbrough,1998,"Riley McGree is a midfielder known for his passing accuracy, box-to-box capabilities, and goal-scoring prowess. He contributes to both defense and attack.","https://digitalhub.fifa.com/transform/90c30982-feae-473d-afea-ab71ebac13fc/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ritsu Doan,FW,Japan,24,Freiburg,1998,"Ritsu Doan is a midfielder known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Riyadh Sharahili,MF,Saudi Arabia,29,Abha,1993,"Riyadh Sharahili is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He offers a target in the box and contributes to offensive movements.",
Roan Wilson,MF,Costa Rica,20,Municipal Grecia,2002,"Roan Wilson is a forward known for his pace, movement off the ball, and goal-scoring prowess. He contributes to his team's offensive movements and scoring opportunities.",
Robert Lewandowski,FW,Poland,34,Barcelona,1988,"Robert Lewandowski is a forward known for his exceptional goal-scoring prowess, positioning, and aerial ability. He is a prolific scorer and a key player for his team.","https://digitalhub.fifa.com/transform/001dd30c-b8f4-4533-9b64-5c2fbf10f145/1442524010?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Robert Skov,DF,Denmark,26,Hoffenheim,1996,"Robert Skov is a versatile player known for his ability to play as a winger or full-back. He contributes to both defense and attack, showcasing his versatility.",
Roberto Alvarado,FW,Mexico,24,Guadalajara,1998,"Roberto Alvarado is a midfielder known for his passing accuracy, creativity, and playmaking abilities. He contributes to his team's offensive movements with flair and vision.",
Rodri,DF,Spain,26,Manchester City,1996,"Rodri is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.","https://digitalhub.fifa.com/transform/5e614c86-4c65-4d3a-b211-7ca38710187c/1442551426?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Rodrigo Bentancur,MF,Uruguay,25,Tottenham,1997,"Rodrigo Bentancur is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.","https://digitalhub.fifa.com/transform/b9b57415-58e6-4b91-9717-d9eaa1df3867/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Papu Gómez,MF,Argentina,34,Sevilla,1988,"Papu Gómez is a midfielder known for his exceptional dribbling ability, creativity, and playmaking skills. He contributes to his team's offensive movements with flair and vision.","https://digitalhub.fifa.com/transform/a2a9f2d8-b6ef-4152-87ea-82314c0c106e/1442741064?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Richarlison,FW,Brazil,25,Tottenham,1997,"Richarlison is a forward known for his pace, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/49fe3ff4-3fd9-4555-981d-615d711ce248/1443023503?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Rogelio Funes Mori,FW,Mexico,31,Monterrey,1991,"Rogelio Funes Mori is a forward known for his goal-scoring abilities, movement in the box, and physical presence. He offers a target in the box and contributes to offensive movements.",
Zakaria Aboukhlal,FW,Morocco,22,Toulouse,2000,"Zakaria Aboukhlal is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/2e91ce28-fb39-46ac-94f3-42e8d6f9037c/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Romario Ibarra,MF,Ecuador,28,Pachuca,1994,"Romario Ibarra is a forward known for his pace, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Romelu Lukaku,FW,Belgium,29,Inter,1993,"Romelu Lukaku is a forward known for his physical presence, goal-scoring prowess, and movement in the box. He offers a target in the box and contributes to offensive movements.","https://digitalhub.fifa.com/transform/e637e01c-e572-4184-846c-88442174fa7e/1442831418?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Roozbeh Cheshmi,DF,IR Iran,29,Esteghlal,1993,"Roozbeh Cheshmi is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity to the backline and contributes to set-piece situations.",
Ruben Vargas,FW,Switzerland,24,Augsburg,1998,"Ruben Vargas is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Rubin Colwill,MF,Wales,20,Cardiff City,2002,"Rubin Colwill is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.",
Rónald Matarrita,DF,Costa Rica,28,FC Cincinnati,1994,"Rónald Matarrita is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Rúben Dias,DF,Portugal,25,Manchester City,1997,"Rúben Dias is a central defender known for his defensive attributes, composure on the ball, and leadership qualities. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/be68559f-6bda-4cac-8514-39c853ddee1f/1442847980?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Rúben Neves,MF,Portugal,25,Wolves,1997,"Rúben Neves is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/dc3f86c5-7b31-4af9-a562-8139ccb236e5/1442848529?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Saad Al Sheeb,GK,Qatar,32,Al Sadd SC,1990,"Saad Al Sheeb is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.","https://digitalhub.fifa.com/transform/de6c428e-dcfc-4bc3-9ee3-ee1e0a463dbd/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Sadegh Moharrami,DF,IR Iran,26,Dinamo Zagreb,1996,"Sadegh Moharrami is a defender known for his defensive attributes, aerial dominance, and composure on the ball. He contributes to the backline's solidity.",
Saeid Ezatolahi,MF,IR Iran,26,Vejle BK,1996,"Saeid Ezatolahi is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.",
Saleh Al-Shehri,FW,Saudi Arabia,29,Al-Hilal,1993,"Saleh Al-Shehri is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Salem Al-Dawsari,MF,Saudi Arabia,31,Al-Hilal,1991,"Salem Al-Dawsari is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Salis Abdul Samed,MF,Ghana,22,Lens,2000,"Salis Abdul Samed is a midfielder known for his passing accuracy, defensive contributions, and ability to control the midfield. He provides stability and ball circulation.",
Salman Al-Faraj,MF,Saudi Arabia,33,Al-Hilal,1989,"Salman Al-Faraj is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Sam Adekugbe,DF,Canada,27,Hatayspor,1995,"Sam Adekugbe is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Saman Ghoddos,MF,IR Iran,29,Brentford,1993,"Saman Ghoddos is a midfielder known for his passing accuracy, creativity, and playmaking abilities. He contributes to his team's offensive movements with flair and vision.",
Sami Al-Najei,MF,Saudi Arabia,25,Al-Nassr,1997,"Sami Al-Najei is a forward known for his pace, dribbling ability, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Samuel Oum Gouet,MF,Cameroon,25,Mechelen,1997,"Samuel Oum Gouet is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.","https://digitalhub.fifa.com/transform/2d5fb873-d9df-4985-92fb-1479cb129227/1443092860?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Sardar Azmoun,FW,IR Iran,27,Leverkusen,1995,"Sardar Azmoun is a forward known for his goal-scoring abilities, movement in the box, and composure in front of goal. He offers a target in the box and contributes to offensive movements.",
Saud Abdulhamid,DF,Saudi Arabia,23,Al-Hilal,1999,"Saud Abdulhamid is a defender known for his defensive attributes, aerial dominance, and composure on the ball. He contributes to the backline's solidity.",
Saša Lukić,MF,Serbia,26,Torino,1996,"Saša Lukić is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Sebastian Szymański,MF,Poland,23,Feyenoord,1999,"Sebastian Szymański is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.",
Sebastián Coates,DF,Uruguay,32,Sporting CP,1990,"Sebastián Coates is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.","https://digitalhub.fifa.com/transform/3c2ff7ba-7636-4d80-854a-e9e2e766fe45/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Serge Gnabry,FW,Germany,27,Bayern Munich,1995,"Serge Gnabry is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/77f92a1e-e521-4bae-830c-0961aade8fb0/1442303743?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Sergej Milinković-Savić,MF,Serbia,27,Lazio,1995,"Sergej Milinković-Savić is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.","https://digitalhub.fifa.com/transform/ff807539-e3f5-4324-8841-f422a2c8045a/1443091650?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Sergio Busquets,MF,Spain,34,Barcelona,1988,"Sergio Busquets is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.","https://digitalhub.fifa.com/transform/2dec5173-d2fd-4a06-8715-398332b2cc44/1442551723?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Sergio Rochet,GK,Uruguay,29,Nacional,1993,"Sergio Rochet is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.","https://digitalhub.fifa.com/transform/898d3b60-29b9-4139-b40d-f5e77b633be9/Uruguay-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Sergiño Dest,DF,United States,22,Milan,2000,"Sergiño Dest is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.","https://digitalhub.fifa.com/transform/fcccbd03-ba84-4ddc-8c53-f1fe7eb2ffe4/1441732428?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Shaquell Moore,DF,United States,26,Nashville,1996,"Shaquell Moore is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Shogo Taniguchi,DF,Japan,31,Kawa Frontale,1991,"Shogo Taniguchi is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Shūichi Gonda,GK,Japan,33,S-Pulse,1989,"Shūichi Gonda is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.",
Silvan Widmer,DF,Switzerland,29,Mainz 05,1993,"Silvan Widmer is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.",
Simon Kjær,DF,Denmark,33,Milan,1989,"Simon Kjær is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.",
Yassine Bounou,GK,Morocco,31,Sevilla,1991,"Yassine Bounou is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.","https://digitalhub.fifa.com/transform/d46cb9ce-5bb8-49f0-84f0-10d8d65da74d/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Abdelhamid Sabiri,MF,Morocco,26,Sampdoria,1996,"A midfielder with Moroccan and German nationality, Sabiri is recognized for his versatility and ability to play in attacking and creative roles.","https://digitalhub.fifa.com/transform/75413604-793b-4439-bd91-eefcc4f4002a/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Son Heung-min,FW,Korea Republic,30,Tottenham,1992,"Son Heung-min is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/a24e8ea2-c99a-4c2e-9959-2641ad9b61ef/1442189916?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Son Jun-ho,MF,Korea Republic,30,Shandong Lunen,1992,"Son Jun-ho is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Sorba Thomas,MF,Wales,23,Huddersfield,1999,"Sorba Thomas is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.",
Srđan Babić,DF,Serbia,26,AlmerÃ­a,1996,"Srđan Babić is a central defender known for his defensive attributes, aerial dominance, and composure on the ball. He contributes to the backline's solidity.",
Stefan Mitrović,DF,Serbia,32,Getafe,1990,"Stefan Mitrović is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.",
Stephen Eustáquio,MF,Canada,25,Porto,1996,"Stephen Eustáquio is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Steve Mandanda,GK,France,37,Rennes,1985,"Steve Mandanda is a goalkeeper known for his shot-stopping abilities, command of the box, and distribution skills. He provides security in the goalkeeping position.","https://digitalhub.fifa.com/transform/c7c5a9eb-81bc-4d06-aee3-8c6ea3cb0b03/1442233046?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Steven Berghuis,MF,Netherlands,30,Ajax,1991,"Steven Berghuis is a forward known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to his team's offensive movements with flair and vision.","https://digitalhub.fifa.com/transform/fc6d4a5b-96b2-4ac7-be41-b1e98a2d0850/1442168488?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Steven Bergwijn,FW,Netherlands,25,Ajax,1997,"Steven Bergwijn is a forward known for his dribbling ability, pace, and goal-scoring prowess. He contributes to his team's offensive movements with flair and agility.","https://digitalhub.fifa.com/transform/1a275a19-71da-47c5-a582-e03ad1543994/1442169262?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Steven Vitória,DF,Canada,35,Chaves,1987,"Steven Vitória is a central defender known for his defensive attributes, aerial dominance, and leadership qualities. He provides solidity and organization to the backline.",
Strahinja Pavlović,DF,Serbia,21,RB Salzburg,2001,"Strahinja Pavlović is a central defender known for his defensive attributes, aerial dominance, and composure on the ball. He contributes to the backline's solidity.",
Sultan Al-Ghanam,DF,Saudi Arabia,28,Al-Nassr,1994,"Sultan Al-Ghanam is a midfielder known for his passing accuracy, playmaking abilities, and ability to control the midfield. He contributes to ball circulation and creating scoring opportunities.",
Taha Yassine Khenissi,FW,Tunisia,30,Kuwait SC,1992,"Taha Yassine Khenissi is a forward known for his goal-scoring abilities, movement in the box, and composure in front of goal. He offers a target in the box and contributes to offensive movements.",
Tajon Buchanan,MF,Canada,23,Club Brugge,1999,"Tajon Buchanan is a forward known for his dribbling ability, pace, and flair. He contributes to his team's offensive movements with creativity and agility.",
Takefusa Kubo,FW,Japan,21,Real Sociedad,2001,"Takefusa Kubo is a forward known for his dribbling ability, creativity, and goal-scoring prowess. He contributes to his team's offensive movements with flair and vision.",
Takehiro Tomiyasu,DF,Japan,24,Arsenal,1998,Takehiro Tomiyasu is a versatile player known for his ability to play as a defender or midfielder. He contributes to both defense and midfield play.,
Takuma Asano,FW,Japan,28,Bochum,1994,"Takuma Asano is a forward known for his pace, movement off the ball, and goal-scoring abilities. He contributes to offensive movements and creates goal-scoring opportunities.",
Takumi Minamino,FW,Japan,27,Monaco,1995,"Takumi Minamino is a forward known for his movement off the ball, dribbling ability, and goal-scoring prowess. He contributes to offensive movements with agility and flair.",
